Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Syrian Arab Republic,SYR,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,SYR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14.244,13.798,13.603,13.505,13.369,15.179,14.887,13.245,13.27,13.359,13.569
Syrian Arab Republic,SYR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,16466863117.0009,15412063258.1149,15300590613.0367,15513754781.2974,15703131995.8402,15593656903.8252,15882796969.6273,15999183136.0334,..,..,..
Tajikistan,TJK,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,956.916310930656,997.352614556708,1042.26391757642,1094.8002018221,1148.34676712493,1171.90127480359,1254.06999592306,1325.75545290849,1407.1075436221,1496.33813395037,..
Tajikistan,TJK,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.96774005889893,5.73094142576332,5.54471764262202,5.38508736377556,5.48427628435415,5.13516829187823,4.38253082077599,5.39829770599001,5.43682120015444,..,..
Tajikistan,TJK,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,16.3986701965332,17.038363448912,18.1411503054245,15.8886226898467,18.2282385687441,17.2974230795463,15.0433161381905,18.3473626996201,17.2254749729296,19.2551624040639,..
Tajikistan,TJK,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..,..,..,..,..,..,..,..,..,..,..
Tajikistan,TJK,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..,..,..,..,..,..,..
Tajikistan,TJK,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,..,..,..,..,..,..,..,..,..,..,..
Tajikistan,TJK,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,0.241,..,..,..,..,..,..,..,..,..
Tajikistan,TJK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.033,7.036,7.035,7.028,7.026,7.576,7.687,7.051,7.037,7.041,6.931
Tajikistan,TJK,GDP (constant 2015 US$),NY.GDP.MKTP.KD,8271431485.07484,8842160257.54501,9469953672.84779,10189670046.8255,10943705646.9105,11425228817.4554,12499200274.9255,13499136339.2248,14619564549.6174,15847607943.9846,..
Tanzania,TZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,939.127319335938,970.156127929688,1001.55895996094,1024.01525878906,1051.7666015625,1041.25964355469,1054.31726074219,1070.58532714844,1092.86413574219,1120.77416992188,..
